,Close,netAsset,closeFR,netAssetFR
2017-05-04,3404.39,1453993.2687250006,0.46109277562949813,0.45399326872500056
2017-05-05,3382.55,1444667.5887250006,0.4517195057574366,0.4446675887250006
2017-05-08,3358.81,1434530.6087250004,0.4415307957408272,0.43453060872500043
2017-05-09,3352.53,1431849.0487250006,0.43883555147358616,0.4318490487250006
2017-05-10,3337.7,1425516.6387250004,0.43247082655588104,0.42551663872500045
2017-05-11,3356.65,1433608.2887250006,0.44060376905018384,0.43360828872500057
2017-05-12,3385.38,1445875.9987250005,0.45293408239378885,0.44587599872500056
2017-05-15,3399.19,1451772.8687250006,0.45886104470757877,0.45177286872500066
2017-05-16,3428.65,1464352.2887250006,0.47150465873829944,0.46435228872500056
2017-05-17,3409.97,1456375.9287250005,0.46348759458032707,0.4563759287250005
2017-05-18,3398.11,1451311.7087250005,0.4583975313622571,0.4513117087250005
2017-05-19,3403.85,1453762.6887250005,0.4608610189568373,0.4537626887250005
2017-05-22,3411.24,1456918.2187250005,0.46403265194010357,0.4569182187250005
2017-05-23,3424.19,1462447.8687250006,0.46959052029373,0.46244786872500065
2017-05-24,3424.17,1462439.3287250006,0.4695819367132611,0.4624393287250006
2017-05-25,3485.66,1488695.5587250004,0.4959721548649586,0.48869555872500037
2017-05-26,3480.43,1486462.3487250004,0.4937275485723358,0.4864623487250004
2017-05-31,3492.88,1491778.4987250005,0.4990708274142392,0.4917784987250005
2017-06-01,3497.74,1493853.7187250005,0.5011566374681868,0.4938537187250005
2017-06-02,3486.51,1489058.5087250005,0.49633695703488795,0.48905850872500056
2017-06-05,3468.75,1485608.3124300006,0.488714737578486,0.48560831243000063
2017-06-06,3492.88,1485608.3124300006,0.4990708274142392,0.48560831243000063
2017-06-07,3533.87,1485608.3124300006,0.5166628755852927,0.48560831243000063
2017-06-08,3560.98,1485608.3124300006,0.5282979189109152,0.48560831243000063
2017-06-09,3576.17,1485608.3124300006,0.5348171482770607,0.48560831243000063
2017-06-12,3574.39,1485608.3124300006,0.5340532096153267,0.48560831243000063
2017-06-13,3582.27,1485608.3124300006,0.5374351403200816,0.48560831243000063
2017-06-14,3535.3,1485608.3124300006,0.5172766015888207,0.48560831243000063
2017-06-15,3528.79,1485608.3124300006,0.5144826461461868,0.48560831243000063
2017-06-16,3518.76,1485608.3124300006,0.510177980541023,0.48560831243000063
2017-06-19,3553.67,1485608.3124300006,0.5251606202495246,0.48560831243000063
2017-06-20,3546.49,1485608.3124300006,0.5220791148611819,0.48560831243000063
2017-06-21,3587.96,1485608.3124300006,0.5398771689634896,0.48560831243000063
2017-06-22,3590.34,1487673.4355100007,0.5408986150392913,0.4876734355100007
2017-06-23,3622.88,1501144.9955100007,0.5548641004622257,0.5011449955100007
2017-06-26,3668.09,1519861.9355100007,0.5742672841122216,0.5198619355100007
2017-06-27,3674.72,1522606.7555100005,0.5771127410376689,0.5226067555100005
2017-06-28,3646.17,1510787.0555100008,0.5648596799182842,0.5107870555100008
2017-06-29,3668.83,1520168.2955100005,0.5745848765895717,0.5201682955100005
2017-06-30,3666.8,1519327.8755100009,0.5737136431719763,0.5193278755100008
2017-07-03,3650.85,1512724.5755100006,0.5668682377480116,0.5127245755100006
2017-07-04,3619.98,1499944.3955100006,0.5536194812942321,0.49994439551000064
2017-07-05,3659.68,1495851.6122100009,0.5706578885250403,0.49585161221000085
2017-07-06,3660.1,1495851.6122100009,0.5708381437148876,0.49585161221000085
2017-07-07,3655.93,1495851.6122100009,0.5690484671871175,0.49585161221000085
2017-07-10,3653.69,1495851.6122100009,0.5680871061745985,0.49585161221000085
2017-07-11,3670.81,1495851.6122100009,0.5754346510559948,0.49585161221000085
2017-07-12,3658.82,1495851.6122100009,0.5702887945648768,0.49585161221000085
2017-07-13,3686.92,1495851.6122100009,0.5823487251237107,0.49585161221000085
2017-07-14,3703.09,1503396.231660001,0.5892885499328334,0.503396231660001
2017-07-17,3663.56,1487386.581660001,0.572323103136011,0.4873865816600011
2017-07-18,3667.18,1480544.412435001,0.5738767312008857,0.480544412435001
2017-07-19,3729.75,1480544.412435001,0.6007304626979051,0.480544412435001
2017-07-20,3747.88,1488832.7521450014,0.6085114783929819,0.48883275214500144
2017-07-21,3728.6,1481178.5921450013,0.600236906820942,0.4811785921450013
2017-07-24,3743.47,1487081.9821450012,0.6066187988995848,0.4870819821450012
2017-07-25,3719.56,1477589.7121450014,0.5963571284489898,0.4775897121450014
2017-07-26,3705.39,1471964.2221450012,0.5902756616867592,0.47196422214500117
2017-07-27,3712.19,1469431.1914350016,0.5931940790461925,0.46943119143500156
2017-07-28,3721.89,1469431.1914350016,0.597357115573619,0.46943119143500156
2017-07-31,3737.87,1469431.1914350016,0.6042153963682869,0.46943119143500156
2017-08-01,3770.38,1481101.2783950018,0.6181680064205181,0.4811012783950018
2017-08-02,3760.85,1477365.5183950018,0.6140779303270771,0.47736551839500174
2017-08-03,3727.83,1464421.6783950017,0.5999064389728886,0.4644216783950017
2017-08-04,3707.58,1462472.513275002,0.5912155637481061,0.4624725132750019
2017-08-07,3726.79,1462472.513275002,0.5994600927885048,0.4624725132750019
2017-08-08,3732.21,1462472.513275002,0.6017862430955824,0.4624725132750019
2017-08-09,3731.04,1462472.513275002,0.6012841036381504,0.4624725132750019
2017-08-10,3715.92,1462472.513275002,0.5947949168036462,0.4624725132750019
2017-08-11,3647.35,1462472.513275002,0.5653661111659505,0.4624725132750019
2017-08-14,3694.68,1462472.513275002,0.585679154345652,0.4624725132750019
2017-08-15,3706.06,1462472.513275002,0.590563211632468,0.4624725132750019
2017-08-16,3701.42,1462472.513275002,0.5885718209636784,0.4624725132750019
2017-08-17,3721.28,1467340.960485002,0.5970953163693171,0.467340960485002
2017-08-18,3724.67,1468676.620485002,0.5985502332587992,0.4686766204850019
2017-08-21,3740.99,1475106.7004850018,0.6055544349214386,0.4751067004850018
2017-08-22,3752.3,1479562.8404850021,0.6104084496766136,0.47956284048500214
2017-08-23,3756.09,1481056.100485002,0.6120350381754741,0.4810561004850019
2017-08-24,3734.65,1472608.740485002,0.6028334399127907,0.47260874048500207
2017-08-25,3795.75,1496682.140485002,0.6290562782453444,0.496682140485002
2017-08-28,3842.71,1515184.380485002,0.6492105251863709,0.5151843804850019
2017-08-29,3834.54,1511965.400485002,0.6457041325648166,0.5119654004850019
2017-08-30,3834.3,1511870.8404850021,0.6456011295991897,0.5118708404850022
2017-08-31,3822.09,1507060.100485002,0.6403608537229134,0.5070601004850019
2017-09-01,3830.54,1507587.008505002,0.6439874164710324,0.5075870085050019
2017-09-04,3845.62,1507587.008505002,0.6504594361445988,0.5075870085050019
2017-09-05,3857.05,1507587.008505002,0.6553649523825873,0.5075870085050019
2017-09-06,3849.45,1507587.008505002,0.6521031918043971,0.5075870085050019
2017-09-07,3829.87,1507587.008505002,0.6436998665253235,0.5075870085050019
2017-09-08,3825.99,1507587.008505002,0.6420346519143528,0.5075870085050019
2017-09-11,3825.65,1507587.008505002,0.6418887310463812,0.5075870085050019
2017-09-12,3837.93,1507587.008505002,0.6471590494542987,0.5075870085050019
2017-09-13,3842.61,1507587.008505002,0.6491676072840263,0.5075870085050019
2017-09-14,3829.96,1507587.008505002,0.6437384926374338,0.5075870085050019
2017-09-15,3831.3,1507587.008505002,0.6443135925288515,0.5075870085050019
2017-09-18,3843.14,1507587.008505002,0.6493950721664526,0.5075870085050019
2017-09-19,3832.12,1507587.008505002,0.6446655193280771,0.5075870085050019
2017-09-20,3842.44,1507587.008505002,0.6490946468500405,0.5075870085050019
2017-09-21,3837.82,1504701.249545002,0.6471118397617197,0.5047012495450018
2017-09-22,3837.73,1504665.9695450016,0.6470732136496096,0.5046659695450016
2017-09-25,3817.79,1496849.4895450016,0.6385153839220953,0.49684948954500163
