,Open,Close,sign,hold,balance,netAsset,profit,preClose,preShortEMA,preMediumEMA,preLongEMA
2021-02-23,5542.68,5579.67,-1.0,0.0,2076048.7868650085,2076048.7868650085,14159.269740000367,5597.33,5597.33,5677.318358941727,4963.11493563983
2021-03-04,5388.48,5280.71,1.0,385.0,446.70446500880644,2075011.5044650086,0.0,5452.21,5452.21,5430.464170070665,5004.788389190355
2021-03-05,5191.97,5262.8,-1.0,0.0,1998355.700240009,1998355.700240009,-77693.08662499953,5280.71,5280.71,5380.546113380444,5008.418936701008
2021-03-12,5153.67,5146.38,1.0,387.0,2888.175095009152,1997358.4650950092,0.0,5128.22,5128.22,5114.565907934875,5013.5331597201375
2021-03-16,5054.41,5079.36,-1.0,0.0,1957966.8167600092,1957966.8167600092,-40388.883479999844,5035.54,5035.54,5095.293736859945,5015.547708349337
2021-03-18,5114.59,5141.77,1.0,382.0,3216.5500700091943,1956989.9300700093,0.0,5100.86,5100.86,5093.608327493309,5017.498826084664
2021-03-22,5008.4,5057.15,-1.0,0.0,1915468.7456700092,1915468.7456700092,-42498.07108999998,5007.09,5007.09,5075.4714788859155,5018.9754997794735
2021-03-29,5052.26,5046.88,1.0,378.0,4759.588530009147,1914513.8685300092,0.0,5037.99,5037.99,5000.3473963965,5017.219454475391
2021-04-08,5078.26,5112.21,-1.0,0.0,1923382.0773900093,1923382.0773900093,7913.331720000133,5103.74,5103.74,5109.377378481368,5024.692820080394
2021-04-09,5100.04,5035.34,1.0,376.0,4808.229870009469,1922423.2698700095,0.0,5112.21,5112.21,5110.321585654246,5025.844361921441
2021-04-12,5026.98,4947.75,-1.0,0.0,1894007.6376300093,1894007.6376300093,-29374.43975999998,5035.34,5035.34,5085.327723769497,5025.969304527737
2021-04-20,5065.78,5083.37,1.0,373.0,3526.929660009453,1893062.8696600094,0.0,5087.02,5087.02,5013.241199343276,5022.395715249756
2021-04-27,5076.64,5090.52,-1.0,0.0,1896166.8563000096,1896166.8563000096,2159.218670000322,5077.24,5077.24,5086.0535735760695,5027.168287501418
2021-04-28,5073.97,5119.24,1.0,373.0,2629.750895009609,1895220.5608950097,0.0,5090.52,5090.52,5087.5423823840465,5028.001862665872
2021-05-07,5073.46,4996.05,-1.0,0.0,1894084.1306050099,1894084.1306050099,-2082.7256949997973,5061.12,5061.12,5101.206149606726,5032.57609956354
2021-05-13,4992.35,4992.97,1.0,379.0,1037.4302800097503,1893138.08028001,0.0,5044.55,5044.55,5038.452696218613,5031.63364604283
2021-05-14,5007.63,5110.59,-1.0,0.0,1897980.25439501,1897980.25439501,3896.1237900000997,4992.97,4992.97,5023.291797479075,5031.124913858055
2021-05-17,5115.31,5184.99,1.0,370.0,4369.222045009956,1897033.9220450101,0.0,5110.59,5110.59,5052.391198319384,5032.170507096765
2021-05-24,5138.81,5155.59,-1.0,0.0,1904778.2421950102,1904778.2421950102,6797.987800000235,5134.15,5134.15,5149.270651630537,5041.182805134856
2021-05-25,5165.04,5318.48,1.0,368.0,3093.154835010413,1903827.8748350104,0.0,5155.59,5155.59,5151.377101087025,5042.688162962028
2021-06-03,5285.71,5255.29,-1.0,0.0,1947261.8641950106,1947261.8641950106,42483.62200000044,5289.97,5289.97,5307.942148577567,5067.508335135937
2021-06-11,5275.75,5224.7,1.0,368.0,4815.126195010729,1946291.1261950107,0.0,5271.47,5271.47,5261.670024017785,5082.144680461298
2021-06-15,5218.56,5166.56,-1.0,0.0,1924284.9911550109,1924284.9911550109,-22976.873039999744,5224.7,5224.7,5249.346682678524,5084.020408349965
2021-06-23,5127.19,5147.39,1.0,375.0,627.3930300113279,1923323.643030011,0.0,5122.16,5122.16,5120.5521641857695,5086.039727461803
2021-06-30,5189.38,5224.04,-1.0,0.0,1945671.8842800115,1945671.8842800115,21386.893125000643,5190.54,5190.54,5195.9954290285805,5093.188893949317
2021-07-01,5241.2,5229.66,1.0,371.0,214.44168001157232,1944699.6416800115,0.0,5224.04,5224.04,5205.343619352388,5094.910619028931
2021-07-05,5073.78,5085.79,-1.0,0.0,1881645.6354900117,1881645.6354900117,-64026.24878999987,5081.12,5081.12,5169.339386378839,5096.478852499608
2021-07-08,5149.31,5088.26,1.0,365.0,1207.7364150115754,1880705.8864150117,0.0,5140.49,5140.49,5128.180929297434,5096.7472592767535
2021-07-09,5063.15,5069.44,-1.0,0.0,1848333.4615400115,1848333.4615400115,-33312.1739500002,5088.26,5088.26,5114.873952864957,5096.635584812586
2021-07-13,5128.61,5142.1,1.0,360.0,1110.7117400115822,1847410.3117400114,0.0,5132.71,5132.71,5110.7228679399805,5096.757119904916
2021-07-15,5073.26,5151.46,-1.0,0.0,1826571.1249400119,1826571.1249400119,-21762.336599999573,5083.08,5083.08,5108.481274639992,5097.1659244226375
2021-07-16,5140.9,5094.77,1.0,355.0,639.1151900121477,1825658.615190012,0.0,5151.46,5151.46,5122.807516426661,5097.880320153919
2021-07-19,5083.73,5113.49,-1.0,0.0,1804460.9031150122,1804460.9031150122,-22110.221824999666,5094.77,5094.77,5113.4616776177745,5097.839394888735
2021-07-20,5080.22,5108.99,1.0,355.0,81.06406501214951,1803559.1640650122,0.0,5113.49,5113.49,5113.47111841185,5098.045323903357
2021-07-21,5122.78,5144.04,-1.0,0.0,1817758.670615012,1817758.670615012,13297.767499999842,5108.99,5108.99,5111.977412274567,5098.189332799365
2021-07-22,5150.39,5151.75,1.0,352.0,3914.92197501217,1816852.2019750122,0.0,5144.04,5144.04,5122.664941516377,5098.792631052004
2021-07-26,5067.31,4925.3,-1.0,0.0,1786716.1954150123,1786716.1954150123,-31042.475199999753,5089.23,5089.23,5117.983307340613,5099.354445925817
2021-12-09,5000.69,5078.69,1.0,357.0,577.2422500124667,1785823.5722500123,0.0,4995.93,4995.93,4927.103263402614,4952.950317150224
2021-12-16,5006.61,5034.73,-1.0,0.0,1787043.3323650123,1787043.3323650123,327.1369499999564,5005.9,5005.9,5026.4515408596035,4959.441054635
2021-12-17,5021.34,4954.76,1.0,355.0,3576.3445150123443,1786152.0445150123,0.0,5034.73,5034.73,5029.211027239736,4960.43169865296
2021-12-20,4934.97,4880.42,-1.0,0.0,1754614.7373400126,1754614.7373400126,-32428.595024999697,4954.76,4954.76,5004.394018159825,4960.357071039106
2021-12-31,4937.46,4940.37,0.0,0.0,1754614.7373400126,1754614.7373400126,0.0,4921.51,4921.51,4920.388898404605,4955.57645716296
