,real,predict,bestPastDays,bestMa,ratio
2016-04-26,2155.79,2144.1462396440747,,,
2016-04-27,2145.38,2153.2088485768804,,,
2016-04-28,2142.06,2141.234289575183,,,
2016-04-29,2135.51,2138.5133642275105,,,
2016-05-03,2158.27,2132.53261326515,,,
2016-05-04,2152.93,2158.026992973069,,,
2016-05-05,2152.88,2149.128816355962,,,
2016-05-06,2107.01,2148.4097751601307,,,
2016-05-09,2072.47,2105.76488199396,,,
2016-05-10,2072.38,2069.3938734670346,,,
2016-05-11,2078.41,2071.6613133153483,,,
2016-05-12,2084.84,2075.777450381781,,,
2016-05-13,2076.19,2082.901612992577,,,
2016-05-16,2082.62,2073.8773973304815,,,
2016-05-17,2075.47,2079.327928506038,,,
2016-05-18,2078.76,2071.3564701006685,,,
2016-05-19,2073.8,2075.632056351421,,,
2016-05-20,2083.12,2071.2190790334766,,,
2016-05-23,2082.41,2080.1780502199276,,,
2016-05-24,2066.64,2080.3103386446387,,,
2016-05-25,2071.91,2062.637828259776,,,
2016-05-26,2076.14,2068.563228721487,,,
